epoch,train_loss,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1
0,1.337050,0.495741,0.419146,0.295077,0.307292,0.605442,0.479092,0.371540,0.370145
1,0.799539,0.727428,0.552461,0.503144,0.498843,0.636054,0.677030,0.461591,0.483535
2,0.516591,0.833049,0.796923,0.701569,0.730121,0.683673,0.574666,0.524364,0.523857
3,0.238985,0.926746,0.926432,0.831730,0.859094,0.687075,0.616391,0.609968,0.606459
4,0.085755,0.976150,0.975538,0.974919,0.975136,0.680272,0.605526,0.488302,0.497421
5,0.069378,0.988075,0.991865,0.983994,0.987707,0.653061,0.562404,0.501356,0.518762
6,0.028504,0.993186,0.993849,0.991209,0.992507,0.636054,0.672214,0.443336,0.486263
7,0.071650,0.977853,0.973268,0.967868,0.970091,0.595238,0.499079,0.509451,0.476448
8,0.053602,0.981261,0.970887,0.972870,0.971865,0.646259,0.624338,0.546524,0.556075
9,0.053141,0.982964,0.961566,0.952176,0.956684,0.639456,0.619967,0.537270,0.530944
10,0.040168,0.988075,0.989553,0.992056,0.990756,0.676871,0.553515,0.524837,0.534077
11,0.024254,0.993186,0.992320,0.992886,0.992595,0.642857,0.645341,0.479264,0.496655
12,0.092418,0.965928,0.958732,0.949890,0.954199,0.602041,0.628217,0.498874,0.516478
13,0.112126,0.965928,0.970941,0.973735,0.972318,0.676871,0.656372,0.503294,0.516483
14,0.020693,0.991482,0.993659,0.982815,0.987963,0.659864,0.571574,0.533217,0.542174
15,0.014275,0.994889,0.997348,0.994619,0.995961,0.670068,0.613573,0.528521,0.553095
16,0.007811,0.996593,0.996167,0.996489,0.996301,0.659864,0.590409,0.549251,0.555063
17,0.005725,0.996593,0.998322,0.998322,0.998322,0.670068,0.587277,0.539178,0.552175
18,0.003804,0.998296,0.999020,0.999308,0.999162,0.680272,0.593423,0.545060,0.558713
19,0.003305,0.998296,0.999020,0.999308,0.999162,0.673469,0.590970,0.540555,0.554424
20,0.004538,0.996593,0.998322,0.998322,0.998322,0.680272,0.592970,0.545643,0.559110
21,0.005008,0.996593,0.998322,0.998322,0.998322,0.676871,0.592463,0.542516,0.556366
22,0.003050,0.998296,0.999311,0.999014,0.999160,0.676871,0.583953,0.538397,0.551162
23,0.003211,0.996593,0.998322,0.998322,0.998322,0.676871,0.583953,0.538397,0.551162
