epoch,train_loss,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1
0,0.219835,0.488095,0.326541,0.281968,0.283427,0.604096,0.414526,0.378728,0.372821
1,0.098862,0.698980,0.733653,0.518336,0.527331,0.696246,0.613029,0.508504,0.503895
2,0.039957,0.860544,0.828284,0.768796,0.790592,0.641638,0.555678,0.528040,0.530577
3,0.013911,0.960884,0.963377,0.942444,0.952404,0.665529,0.556675,0.504950,0.506685
4,0.006376,0.977891,0.963058,0.951539,0.957085,0.658703,0.572628,0.495961,0.506361
5,0.005342,0.991497,0.991755,0.991449,0.991600,0.634812,0.557916,0.492947,0.507057
6,0.002384,0.989796,0.990433,0.989999,0.990178,0.645051,0.522211,0.439491,0.455233
7,0.002157,0.989796,0.992578,0.987826,0.990170,0.645051,0.578759,0.495459,0.509258
8,0.002173,0.991497,0.990696,0.990390,0.990541,0.686007,0.599995,0.527053,0.533964
9,0.001374,0.991497,0.990261,0.993622,0.991911,0.699659,0.665186,0.490988,0.506393
10,0.001061,0.993197,0.994247,0.991079,0.992639,0.672355,0.509111,0.474848,0.484586
11,0.001001,0.991497,0.990538,0.993325,0.991912,0.689420,0.565669,0.504785,0.518802
12,0.000837,0.993197,0.994013,0.994013,0.994013,0.686007,0.552057,0.502824,0.516443
13,0.000762,0.993197,0.996965,0.991079,0.993938,0.686007,0.551541,0.498375,0.511170
14,0.001015,0.994898,0.992075,0.997934,0.994923,0.682594,0.530056,0.475918,0.484577
15,0.001061,0.994898,0.997959,0.991767,0.994775,0.682594,0.541481,0.496986,0.509424
16,0.000952,0.993197,0.991233,0.994311,0.992749,0.689420,0.570858,0.508069,0.517020
17,0.000701,0.994898,0.997959,0.991767,0.994775,0.682594,0.539627,0.495249,0.504218
18,0.000684,0.991497,0.990696,0.990390,0.990541,0.689420,0.540816,0.499742,0.507563
19,0.000784,0.991497,0.990390,0.990688,0.990537,0.682594,0.522869,0.475918,0.484935
20,0.001146,0.991497,0.990538,0.993325,0.991912,0.672355,0.498463,0.463640,0.468788
21,0.000866,0.994898,0.997959,0.991767,0.994775,0.686007,0.551340,0.496638,0.506781
22,0.000969,0.993197,0.991233,0.994311,0.992749,0.686007,0.552397,0.504540,0.515628
23,0.000610,0.994898,0.994705,0.994999,0.994850,0.679181,0.532346,0.489410,0.497241
24,0.000663,0.993197,0.994247,0.991079,0.992639,0.675768,0.505009,0.465029,0.470213
25,0.000910,0.993197,0.994013,0.994013,0.994013,0.679181,0.507672,0.466990,0.472749
26,0.000621,0.994898,0.997648,0.992065,0.994774,0.679181,0.503584,0.465846,0.473562
27,0.000724,0.991497,0.990538,0.993325,0.991912,0.675768,0.499554,0.464457,0.471039
28,0.001018,0.993197,0.994247,0.991079,0.992639,0.675768,0.504568,0.465601,0.470497
