epoch,train_loss,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1
0,0.227543,0.446337,0.210591,0.228177,0.209740,0.622449,0.445841,0.375691,0.375410
1,0.121455,0.637138,0.443629,0.443258,0.439933,0.666667,0.406733,0.439228,0.400178
2,0.079268,0.780239,0.762305,0.633236,0.648130,0.714286,0.714202,0.494764,0.514747
3,0.037415,0.865417,0.855240,0.812543,0.827846,0.707483,0.567364,0.526815,0.510719
4,0.014895,0.947189,0.957386,0.921714,0.938146,0.707483,0.660036,0.486417,0.508496
5,0.008715,0.971039,0.970934,0.958010,0.963774,0.707483,0.729411,0.496126,0.521083
6,0.005116,0.976150,0.953928,0.942367,0.947942,0.714286,0.621485,0.541232,0.536634
7,0.002357,0.988075,0.976451,0.992773,0.984247,0.727891,0.629311,0.518216,0.506986
8,0.006686,0.982964,0.973800,0.970901,0.972329,0.710884,0.566875,0.506850,0.515559
9,0.004389,0.986371,0.983239,0.955705,0.967274,0.693878,0.567734,0.516408,0.514136
10,0.001465,0.996593,0.998336,0.995822,0.997059,0.731293,0.616089,0.529067,0.539841
11,0.001364,0.993186,0.993971,0.996918,0.995422,0.734694,0.660686,0.506759,0.512705
12,0.001683,0.993186,0.994427,0.993895,0.994152,0.731293,0.558250,0.506144,0.510320
13,0.000741,0.991482,0.993194,0.993446,0.993318,0.731293,0.558250,0.506144,0.510320
14,0.000706,0.994889,0.997630,0.994858,0.996225,0.734694,0.561896,0.513113,0.516164
15,0.000693,0.991482,0.993449,0.993189,0.993317,0.741497,0.565734,0.520427,0.522218
16,0.000702,0.993186,0.993971,0.996918,0.995422,0.741497,0.650899,0.514345,0.513913
17,0.000814,0.991482,0.993449,0.993189,0.993317,0.741497,0.577166,0.519105,0.519810
18,0.000662,0.991482,0.993194,0.993446,0.993318,0.741497,0.577166,0.519105,0.519810
19,0.000959,0.993186,0.996672,0.994152,0.995392,0.734694,0.566554,0.510994,0.510206
20,0.000765,0.993186,0.993971,0.996918,0.995422,0.727891,0.560833,0.507389,0.506655
21,0.000664,0.989779,0.992482,0.992482,0.992482,0.717687,0.551863,0.493902,0.495003
22,0.000819,0.993186,0.996930,0.993895,0.995390,0.734694,0.559765,0.516551,0.517908
23,0.000621,0.993186,0.993911,0.994409,0.994151,0.727891,0.550012,0.512675,0.511750
24,0.000799,0.991482,0.993449,0.993189,0.993317,0.734694,0.556033,0.513113,0.514374
25,0.000648,0.993186,0.994152,0.994152,0.994152,0.721088,0.538659,0.500075,0.499810
26,0.000657,0.993186,0.994217,0.996661,0.995420,0.744898,0.606842,0.518401,0.521131
27,0.000748,0.991482,0.995964,0.993189,0.994557,0.734694,0.555272,0.508878,0.511256
28,0.000837,0.993186,0.993971,0.996918,0.995422,0.714286,0.577588,0.486678,0.490255
29,0.001097,0.991482,0.995964,0.993189,0.994557,0.734694,0.553773,0.508082,0.509697
30,0.000989,0.994889,0.994926,0.997624,0.996257,0.721088,0.554154,0.491605,0.493883
