epoch,train_loss,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1
0,1.288532,0.520408,0.362245,0.296551,0.298298,0.597270,0.381957,0.359641,0.348404
1,0.776802,0.727891,0.538239,0.512457,0.510158,0.686007,0.488043,0.487758,0.465986
2,0.450879,0.869048,0.843057,0.765305,0.791090,0.604096,0.455966,0.510026,0.470451
3,0.207005,0.938776,0.916674,0.895593,0.903688,0.610922,0.529934,0.466986,0.464692
4,0.104089,0.971088,0.979015,0.944513,0.959318,0.648464,0.557350,0.597816,0.539127
5,0.044668,0.994898,0.995623,0.984400,0.989762,0.604096,0.486840,0.480351,0.458955
6,0.023887,0.991497,0.980476,0.980251,0.980331,0.627986,0.561013,0.513171,0.506622
7,0.034827,0.988095,0.965662,0.965687,0.965648,0.624573,0.520850,0.420187,0.433241
8,0.050976,0.986395,0.971750,0.965320,0.968306,0.627986,0.470007,0.429248,0.405717
9,0.077534,0.971088,0.974273,0.960195,0.966714,0.610922,0.564989,0.543168,0.526833
10,0.047123,0.988095,0.992084,0.989523,0.990755,0.610922,0.596156,0.565487,0.558718
11,0.047935,0.982993,0.989395,0.980245,0.984717,0.563140,0.472883,0.482252,0.445605
12,0.042981,0.988095,0.977901,0.978953,0.978276,0.621160,0.548361,0.521647,0.484367
13,0.041154,0.982993,0.969821,0.970797,0.970235,0.662116,0.577525,0.497681,0.504945
14,0.025508,0.993197,0.994690,0.992270,0.993411,0.658703,0.497922,0.564619,0.500365
15,0.030096,0.988095,0.985098,0.989564,0.987245,0.665529,0.602118,0.496260,0.486805
16,0.067146,0.982993,0.986774,0.986519,0.986644,0.597270,0.492275,0.508349,0.477280
17,0.174720,0.947279,0.961265,0.957041,0.958951,0.648464,0.560670,0.536004,0.540996
18,0.079243,0.972789,0.982399,0.979998,0.981180,0.631399,0.587924,0.578469,0.557561
19,0.074524,0.974490,0.965367,0.968263,0.966686,0.590444,0.431978,0.509734,0.439808
20,0.051224,0.979592,0.961622,0.959286,0.960439,0.621160,0.502043,0.547057,0.515716
21,0.023242,0.991497,0.993745,0.982689,0.987966,0.645051,0.505293,0.455404,0.469439
22,0.051785,0.979592,0.947775,0.946093,0.946915,0.679181,0.497482,0.503910,0.496978
23,0.023675,0.993197,0.994693,0.972197,0.982502,0.658703,0.524826,0.600319,0.533559
24,0.043392,0.981293,0.985735,0.982132,0.983883,0.610922,0.621574,0.486437,0.493018
25,0.073617,0.976190,0.982989,0.976237,0.979519,0.621160,0.518226,0.506015,0.496277
26,0.074551,0.981293,0.977169,0.984301,0.980592,0.631399,0.522078,0.502202,0.496239
27,0.032264,0.991497,0.993464,0.988795,0.991098,0.634812,0.519447,0.510254,0.501783
28,0.005247,0.998299,0.999042,0.999294,0.999166,0.631399,0.540215,0.509875,0.505867
29,0.004117,0.998299,0.999042,0.999294,0.999166,0.645051,0.558832,0.516576,0.515664
30,0.012085,0.996599,0.998330,0.998330,0.998330,0.645051,0.548163,0.520294,0.517144
