epoch,train_loss,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1
0,1.282855,0.518629,0.281583,0.274971,0.261938,0.622024,0.411254,0.382066,0.347198
1,0.926340,0.684054,0.521402,0.462191,0.456231,0.645833,0.434964,0.413483,0.408293
2,0.560205,0.807750,0.739737,0.652118,0.660651,0.669643,0.493855,0.476039,0.477131
3,0.263696,0.909091,0.898245,0.835474,0.858982,0.639881,0.544653,0.537554,0.537653
4,0.234301,0.925484,0.933806,0.895079,0.911756,0.559524,0.472751,0.479781,0.468924
5,0.121374,0.970194,0.971924,0.953790,0.962450,0.639881,0.624909,0.491329,0.522760
6,0.052150,0.988077,0.979345,0.985995,0.982504,0.654762,0.489443,0.471511,0.478021
7,0.020652,0.995529,0.987175,0.993948,0.990399,0.642857,0.530556,0.459237,0.471116
8,0.026640,0.992548,0.989286,0.971920,0.979858,0.633929,0.515394,0.490260,0.463422
9,0.054309,0.986587,0.964976,0.970978,0.967706,0.666667,0.601779,0.488538,0.512569
10,0.012934,0.997019,0.996764,0.996706,0.996714,0.669643,0.576785,0.506373,0.526760
11,0.011946,0.997019,0.996978,0.996978,0.996978,0.672619,0.585089,0.522226,0.541166
12,0.005357,0.998510,0.999396,0.997585,0.998481,0.666667,0.598106,0.512683,0.533112
13,0.004399,0.998510,0.997619,0.999394,0.998497,0.663690,0.589545,0.506796,0.527052
14,0.004150,0.998510,0.999396,0.997585,0.998481,0.669643,0.594867,0.513380,0.532636
15,0.003822,0.997019,0.996978,0.996978,0.996978,0.672619,0.596178,0.514078,0.533536
16,0.003821,0.997019,0.996978,0.996978,0.996978,0.669643,0.571093,0.508701,0.527210
17,0.004572,0.998510,0.997619,0.999394,0.998497,0.669643,0.575040,0.508701,0.528428
18,0.004756,0.997019,0.996978,0.996978,0.996978,0.669643,0.571093,0.508701,0.527210
19,0.004405,0.998510,0.999396,0.997585,0.998481,0.672619,0.572759,0.514078,0.530863
20,0.003485,0.998510,0.997619,0.999394,0.998497,0.666667,0.588598,0.511662,0.529431
21,0.004379,0.998510,0.999396,0.997585,0.998481,0.669643,0.593919,0.512870,0.532022
22,0.003730,0.997019,0.996978,0.996978,0.996978,0.672619,0.594440,0.514588,0.533669
23,0.002683,0.998510,0.997619,0.999394,0.998497,0.678571,0.602986,0.517514,0.538308
24,0.004642,0.998510,0.997619,0.999394,0.998497,0.669643,0.592808,0.513891,0.532591
25,0.001311,1.000000,1.000000,1.000000,1.000000,0.678571,0.588040,0.513345,0.535472
26,0.005031,0.997019,0.996978,0.996978,0.996978,0.672619,0.597667,0.514588,0.534771
27,0.003260,0.997019,0.996978,0.996978,0.996978,0.681548,0.610513,0.518722,0.541016
28,0.003959,0.998510,0.999396,0.997585,0.998481,0.678571,0.657994,0.521683,0.545316
29,0.006096,0.997019,0.996978,0.996978,0.996978,0.663690,0.636790,0.522011,0.537199
30,0.004046,0.997019,0.996978,0.996978,0.996978,0.684524,0.620938,0.524098,0.547376
31,0.003037,0.998510,0.999396,0.997585,0.998481,0.681548,0.663832,0.522890,0.547578
32,0.004043,0.998510,0.997619,0.999394,0.998497,0.675595,0.655653,0.520475,0.543366
33,0.002429,0.998510,0.997619,0.999394,0.998497,0.684524,0.670659,0.524098,0.550056
34,0.003643,0.998510,0.999396,0.997585,0.998481,0.684524,0.670264,0.524098,0.549893
35,0.003501,0.998510,0.999396,0.997585,0.998481,0.684524,0.673648,0.524098,0.550559
36,0.002769,0.998510,0.997619,0.999394,0.998497,0.672619,0.652632,0.518757,0.540811
37,0.003494,0.997019,0.996978,0.996978,0.996978,0.672619,0.652632,0.518757,0.540811
38,0.003057,0.997019,0.996978,0.996978,0.996978,0.672619,0.652632,0.518757,0.540811
39,0.003414,0.997019,0.996978,0.996978,0.996978,0.684524,0.673275,0.524098,0.550403
40,0.002966,0.998510,0.997619,0.999394,0.998497,0.678571,0.657251,0.521172,0.543772
41,0.003076,0.998510,0.997619,0.999394,0.998497,0.681548,0.670261,0.522380,0.547846
42,0.003263,0.998510,0.999396,0.997585,0.998481,0.681548,0.670261,0.522380,0.547846
43,0.003094,0.997019,0.996978,0.996978,0.996978,0.678571,0.659702,0.521172,0.544331
44,0.003192,0.998510,0.997619,0.999394,0.998497,0.678571,0.665812,0.521172,0.546045
45,0.003353,0.998510,0.999396,0.997585,0.998481,0.681548,0.673837,0.522380,0.549004
46,0.002424,0.998510,0.999396,0.997585,0.998481,0.672619,0.652632,0.518757,0.540811
47,0.003151,0.998510,0.997619,0.999394,0.998497,0.678571,0.665812,0.521172,0.546045
48,0.002617,0.998510,0.999396,0.997585,0.998481,0.681548,0.670261,0.522380,0.547846
49,0.002826,0.998510,0.999396,0.997585,0.998481,0.678571,0.666995,0.517004,0.543744
50,0.003456,0.998510,0.997619,0.999394,0.998497,0.672619,0.654440,0.518757,0.541193
51,0.002986,0.997019,0.996978,0.996978,0.996978,0.681548,0.670261,0.522380,0.547846
52,0.002554,0.998510,0.999396,0.997585,0.998481,0.678571,0.659702,0.521172,0.544331
53,0.002937,0.998510,0.997619,0.999394,0.998497,0.681548,0.670261,0.522380,0.547846
54,0.002526,0.998510,0.997619,0.999394,0.998497,0.681548,0.672275,0.518722,0.545997
55,0.003324,0.997019,0.996978,0.996978,0.996978,0.678571,0.666995,0.517004,0.543744
