epoch,train_loss,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1
0,0.204073,0.507440,0.296645,0.283548,0.277864,0.591045,0.490192,0.340630,0.329923
1,0.110606,0.711310,0.695487,0.549971,0.569787,0.659701,0.501881,0.509058,0.485035
2,0.060388,0.815476,0.793806,0.710683,0.739477,0.704478,0.696988,0.575270,0.596120
3,0.018800,0.931548,0.927056,0.887467,0.903276,0.683582,0.701612,0.569238,0.590577
4,0.012297,0.964286,0.937522,0.934379,0.935681,0.707463,0.593392,0.506203,0.514586
5,0.005134,0.982143,0.977981,0.947996,0.961337,0.695522,0.627529,0.583575,0.587566
6,0.001945,0.995536,0.998201,0.991524,0.994793,0.671642,0.598856,0.605919,0.601420
7,0.003539,0.992560,0.990342,0.992121,0.991222,0.668657,0.616116,0.588257,0.594055
8,0.001940,0.991071,0.991641,0.988511,0.989980,0.677612,0.621345,0.565585,0.566378
9,0.001864,0.992560,0.991002,0.992121,0.991514,0.677612,0.636781,0.562429,0.584367
10,0.001251,0.994048,0.991126,0.995766,0.993392,0.707463,0.661736,0.583210,0.599245
11,0.000607,0.995536,0.996411,0.993333,0.994807,0.689552,0.638819,0.559073,0.577487
12,0.000838,0.994048,0.995779,0.990918,0.993290,0.698507,0.614699,0.576545,0.586397
13,0.001339,0.995536,0.993544,0.996372,0.994897,0.704478,0.633034,0.581216,0.597864
14,0.000651,0.994048,0.995779,0.990918,0.993290,0.701493,0.623665,0.576482,0.589171
15,0.000898,0.994048,0.991056,0.995152,0.993080,0.695522,0.644284,0.585115,0.601965
16,0.000813,0.994048,0.995779,0.990918,0.993290,0.707463,0.638243,0.586118,0.602914
17,0.000580,0.994048,0.992835,0.993342,0.993067,0.707463,0.635489,0.586118,0.601688
18,0.000607,0.995536,0.996411,0.993333,0.994807,0.701493,0.633358,0.576314,0.595114
19,0.000793,0.994048,0.992835,0.993342,0.993067,0.698507,0.629378,0.571412,0.590810
20,0.000545,0.995536,0.996411,0.993333,0.994807,0.707463,0.632972,0.579918,0.594268
21,0.000888,0.992560,0.990416,0.992736,0.991562,0.698507,0.636477,0.562753,0.586275
22,0.000582,0.992560,0.990342,0.992121,0.991222,0.701493,0.622915,0.568333,0.582700
23,0.000672,0.995536,0.996411,0.993333,0.994807,0.695522,0.631914,0.561545,0.583989
24,0.000833,0.992560,0.990416,0.992736,0.991562,0.704478,0.653199,0.570015,0.590862
25,0.000720,0.992560,0.990416,0.992736,0.991562,0.710448,0.646382,0.591020,0.609882
26,0.000712,0.995536,0.998201,0.991524,0.994793,0.695522,0.619858,0.560274,0.578843
27,0.000805,0.995536,0.991771,0.998182,0.994911,0.713433,0.685005,0.581573,0.601037
28,0.000510,0.997024,0.998797,0.993939,0.996310,0.701493,0.645142,0.588551,0.604748
29,0.000974,0.995536,0.993544,0.996372,0.994897,0.704478,0.689440,0.558682,0.579266
30,0.000993,0.995536,0.996411,0.993333,0.994807,0.710448,0.663076,0.581897,0.596486
31,0.000522,0.994048,0.995109,0.990918,0.992989,0.701493,0.645237,0.583586,0.600610
32,0.000634,0.991071,0.989706,0.989706,0.989706,0.710448,0.667348,0.582835,0.609350
33,0.000690,0.994048,0.992835,0.993342,0.993067,0.710448,0.668972,0.577870,0.603573
34,0.000672,0.995536,0.996411,0.993333,0.994807,0.707463,0.638428,0.579596,0.595685
35,0.000638,0.994048,0.991126,0.995766,0.993392,0.713433,0.654934,0.589518,0.613293
36,0.000646,0.994048,0.992835,0.993342,0.993067,0.710448,0.654123,0.580840,0.600586
37,0.000545,0.994048,0.993321,0.992727,0.993002,0.698507,0.646052,0.565176,0.590562
38,0.000563,0.995536,0.998201,0.991524,0.994793,0.713433,0.649964,0.587487,0.606151
39,0.000578,0.992560,0.990342,0.992121,0.991222,0.713433,0.649964,0.587487,0.606151
40,0.000726,0.994048,0.991056,0.995152,0.993080,0.704478,0.663293,0.567592,0.594624
41,0.000705,0.995536,0.998201,0.991524,0.994793,0.713433,0.655588,0.591728,0.610437
42,0.000770,0.995536,0.991771,0.998182,0.994911,0.713433,0.652673,0.586977,0.606974
43,0.000595,0.994048,0.992835,0.993342,0.993067,0.710448,0.654368,0.582075,0.604749
